#DeCS_code	Term_Spanish	Synonyms
8316	lorazepam	Lorazepam
8317	lordosis	Lordosis
8318	Lorisidae	Loris|Nycticebus|Perodicticus potto|Pottos
8320	percepción de la intensidad sonora	Percepción Sonora
8322	menigoencefalomielitis ovina	Meningoencefalomielitis Ovina
8324	amor	Amor
8325	presión negativa corporal inferior	Descompresión Abdominal|LBNP|PNCI|Presión Negativa de la Región Corporal Inferior|descompresión abdominal
8326	loxapina	Loxapina|Loxapinsuccinato|Oxilapina|loxapinsuccinato|oxilapina
8327	lubricación	Lubrificación|lubrificación
8328	lucantona	Lucantona
8330	luciferasas	Luciferasa|Luciferasas|luciferasa
8333	angina de Ludwig	Angina de Ludwig
8334	vértebras lumbares	Vértebras Lumbares
8335	plexo lumbosacro	Plexo Lumbar|Plexo Lumbosacro|Plexo Sacro
8336	región lumbosacra	Región Lumbar|Región Lumbosacra|región lumbar
8337	lumicolchicinas	Lumicolchicinas
8338	medidas de luminiscencia	Mediciones Luminiscentes|Mediciones de Luminiscencia|Medición de Luminiscencia|Medidas de Luminiscencia|mediciones de luminiscencia|medición de luminiscencia
8339	proteínas luminiscentes	Fotoproteínas|Proteínas Bioluminiscentes|Proteínas Luminiscentes|fotoproteínas|proteínas bioluminiscentes
8340	luminol	Luminol
8341	linfocitosis	Linfocitosis
8342	dermatosis nodular contagiosa	Dermatosis Nodular Contagiosa|Enfermedad de Lumpy-Skin|Enfermedad de Piel Aterronada|Enfermedad de la Piel Grumosa|enfermedad de la piel aterronada
8343	virus de la dermatosis nodular contagiosa	Virus Neethling|Virus de la Dermatosis Nodular Contagiosa|Virus de la Enfermedad Nodular Cutánea|virus Neethling|virus de la enfermedad nodular cutánea
8345	pulmón	Pulmones|Pulmón|pulmones
8346	absceso pulmonar	Absceso Pulmonar
8348	enfermedades pulmonares	Enfermedad Pulmonar|Enfermedades Pulmonares|Enfermedades del Pulmón|Neumopatías|enfermedad pulmonar|enfermedades del pulmón|neumopatías
8349	enfermedades pulmonares fúngicas	Enfermedades Pulmonares Fúngicas|Infecciones Pulmonares Fúngicas|Micosis Pulmonar|Neumopatías Fúngicas|Neumopatías Micóticas|enfermedades pulmonares micóticas|infecciones micóticas pulmonares|micosis pulmonar|neumopatías fúngicas|neumopatías micóticas
8350	enfermedades pulmonares obstructivas	Enfermedades Pulmonares Obstructivas|Neumopatías Obstructivas|enfermedades obstructivas del pulmón|neumopatías obstructivas
8351	enfermedades pulmonares parasitarias	Enfermedades Pulmonares Parasitarias|Neumopatías Parasitarias|Parasitosis Pulmonares|neumopatías parasitarias|parasitosis pulmonares
8352	neoplasias pulmonares	Cáncer Pulmonar|Cáncer de Pulmón|Cáncer del Pulmón|Neoplasia Pulmonar|Neoplasias Pulmonares|Neoplasias del Pulmón|carcinoma broncopulmonar|cáncer de pulmón|cáncer del pulmón|cáncer pulmonar|neoplasia pulmonar|neoplasias del pulmón|tumores del pulmón
8353	medidas de volúmenes pulmonares	Capacidad Pulmonar|Mediciones del Volumen Pulmonar|capacidades pulmonares
8354	lupus vulgar	Lupus Vulgar|Lupus Vulgaris|lupus vulgaris
8356	lupus eritematoso sistémico	Enfermedad de Libman-Sacks|Lupus Eritematoso Diseminado|Lupus Eritematoso Sistémico|enfermedad de Libman-Sacks|lupus eritematoso diseminado
8358	batería neuropsicológica de Luria-Nebraska	Batería Neuropsicológica de Luria-Nebraska
8359	fase luteínica	Fase Luteínica|Fase Luteínica del Ciclo Menstrual|Fase Postovulatoria|Fase Secretora Menstrual|Fase Secretora del Ciclo Menstrual|Fase Secretoria Menstrual|Fase Secretoria del Ciclo Menstrual|fase luteínica del ciclo menstrual|fase menstrual secretora|fase postovulatoria|fase secretora del ciclo menstrual
8360	células lúteas	Células Luteínicas|Células Lúteas|células luteínicas
8361	síndrome de Lutembacher	Síndrome de Lutembacher
8362	luteolíticos	Agentes Luteolíticos|Efecto Luteolítico|Fármacos Luteolíticos|Luteolíticos|agentes luteolíticos|fármacos luteolíticos
8364	lutecio	Lutecio
8365	sistema del grupo sanguíneo Lutheran	Sistema de Grupo Sanguíneo Lutheran|Sistema del Grupo Sanguíneo Lutheran
8366	Luxemburgo	-
8367	liasas	Desmolasa|Liasas|desmolasas
8368	lejía	Lejía|lejía doméstica|lejías
8369	decepción	Decepción|Falsas Alegaciones|Mentira|alegaciones falsas|mentira
8371	limeciclina	Limeciclina|N-Lisinometiltetraciclina|N-lisinometiltetraciclina|Tetraciclina-L-Metileno Lisina|tetraciclina-L-metileno lisina
8372	Lymnaea	-
8373	linfa	Linfa
8374	linfadenectomía	Disección del Ganglio Linfático|Disección del Nódulo Linfático|Escisión del Ganglio Linfático|Escisión del Nódulo Linfático|Linfadenectomía|disección de ganglio linfático|disección de nódulo linfático|escisión de nódulo linfático
8375	ganglios linfáticos	Ganglios Linfáticos|Nódulos Linfáticos|nódulos linfáticos
8376	linfadenitis	Adenitis|Linfadenitis|adenitis
8377	linfangiectasia	Linfangiectasia
8378	linfangiectasia intestinal	Linfangiectasia Intestinal
8379	linfangioma	Linfangioendotelioma|Linfangioma|Linfangioma Cavernoso|linfangioendotelioma|linfangioma cavernoso
8380	linfangiomioma	Linfangioleiomioma|Linfangiomioma|linfangioleiomioma|linfangioliomioma
8381	linfangiosarcoma	Linfangioendotelioma Maligno|Linfangiosarcoma|linfangioendotelioma maligno
8382	linfangitis	Linfangitis
8383	enfermedades linfáticas	Enfermedades Linfáticas|Estado Linfático|Linfatismo|estado linfático|linfatismo
8384	metástasis linfática	Metástasis Linfática
8385	sistema linfático	Sistema Linfoide|Sistema Linfático
8386	linfedema	Enfermedad de Milroy|Linfedema|enfermedad de Milroy
8387	cooperación linfocítica	Cooperación Linfocítica
8392	coriomeningitis linfocítica	Coriomeningitis Linfocítica|Síndrome de Armstrong|coriomeningitis linfocitaria|síndrome de Armstrong
8393	virus de la coriomeningitis linfocítica	LCMV|Virus CML|Virus de la Coriomeningitis Linfocítica|virus CML
8396	tejido linfoide	Tejido Linfoide|Tejido Linfoideo|Tejido Linfático
8398	linfoma	Germinoblastoma|Linfoma|Linfoma Maligno|Reticulolinfosarcoma|Sarcoma Germinoblástico|germinoblastoma|linfoma de células grandes difuso indiferenciado|linfoma difuso indiferenciado de células grandes|linfoma maligno|reticulolinfosarcoma|sarcoma germinoblástico
8400	granulomatosis linfomatoide	Granulomatosis Linfomatoide
8402	linfopenia	Linfocitopenia|Linfopenia|linfocitopenia
8403	trastornos linfoproliferativos	Síndrome Linfoproliferativo Ligado al Cromosoma X|Síndrome Linfoproliferativo Ligado al X|Síndrome de Duncan|Trastornos Linfoproliferativos|síndrome de Duncan|síndrome linfoproliferativo ligado al X|síndrome linfoproliferativo ligado al cromosoma X
8406	linestrenol	Etinilestrenol|Linestrenol|etinilestrenol
8407	toxinas de Lyngbya	Toxinas de Lyngbya
8409	ácido lisérgico	Ácido Lisérgico
8410	dietilamida del ácido lisérgico	Dietilamida del Ácido Lisérgico|LSD|Lisergida|lisergida
8412	lisina	Lisina
8414	lisinoalanina	Lisinoalanina
8415	lisogenia	Integración del Profago|Lisogenia|integración de profago
8416	1-acilglicerofosfocolina O-aciltransferasa	1-Acilglicerofosfocolina Aciltransferasa|1-Acilglicerofosfocolina O-Aciltransferasa|1-acilglicerofosfocolina aciltransferasa|Acil CoA Lisolecitina Aciltransferasa|Lisolecitina Aciltransferasa|acil CoA lisolecitina aciltransferasa|lisolecitina aciltransferasa
8418	lisofosfolipasa	Fosfolipasa B|Lecitinasa B|Lisofosfolipasa|Lisolecitinasa|fosfolipasa B|lecitinasa B|lisolecitinasa
8419	lisosomas	Lisosomas
8420	lisostafina	Lisostafina
8421	proteína-lisina 6-oxidasa	Lisil Oxidasa|Proteína-Lisina 6-Oxidasa
8422	lisina ARNt ligasa	Lisil RNAt Sintetasa|Lisil T ARN Sintetasa|Lisil T RNA Sintetasa|Lisina-ARNt Ligasa|Lisina-RNAt Ligasa|lisil ARNt sintetasa|lisil RNAt sintetasa|lisina-RNAt ligasa
8423	Macaca	Macaco|Mono Celebes|Mono Japonés|Mono Negro|Mono de Berberia
8424	Macaca fascicularis	Mono Cangrejero|Mono Cynomolgus|macaco cangrejero|mono Cynomolgus
8425	Macaca mulatta	Mono Reso|Mono Rhesus|mono rhesus
8426	Macaca nemestrina	Mono con Trenza
8427	Macaca radiata	Mono con Bonete|mono de sombrero
8428	Macao	-
8429	maquiavelismo	Manipulación Psicológica|Maquiavelismo|manipulación psicológica
8432	macroglosia	Macroglosia
8434	activación de macrófagos	Activación de Macrófagos
8436	macrófagos	Macrófagos|Macrófagos Derivados de Monocitos|Macrófagos Derivados de la Médula Ósea|macrófagos derivados de la médula ósea|macrófagos derivados de los monocitos
8437	macrostomía	Macrostomía
8438	mácula lútea	Mácula Lútea|mancha amarilla
8440	degeneración macular	Degeneración Macular|Maculopatía Relacionada con la Edad|maculopatía relacionada con la edad
8442	Madagascar	República Malgache|República de Malagasia
8445	micetoma	Maduromicosis|Micetoma|Pie de Madura|pie de Madura
8446	mafenida	4 Homosulfanilamida|4 homosulfanilamida|4-Homosulfanilamida|4-homosulfanilamida|Acetato de Mafenida|Bensulfamida|Mafenida|Mafylon|Marfanil|Napaltan|Sulfabenzamina|Sulfamylon|acetato de mafenida|bensulfamida|sulfabenzamina
8447	magia	Magia
8448	magnesio	Magnesio
8449	deficiencia de magnesio	Deficiencia de Magnesio
8450	hidróxido de magnesio	Brucita|Hidróxido de Magnesio|brucita
8452	óxido de magnesio	MgO|magnesia|Óxido de Magnesio
8453	sulfato de magnesio	Sulfato de Magnesio
8454	magnetismo	Magnetismo
8456	mantenimiento	Mantenimiento
8457	servicio hospitalario de mantenimiento e ingeniería	Ingeniería Hospitalaria|Ingeniería en Hospital|Mantenimiento en Hospital|Servicio de Jardinería en Hospital|Servicio de Mantenimiento e Ingeniería en Hospital|ingeniería hospitalaria|jardinería hospitalaria|mantenimiento hospitalario|paisajismo hospitalario|servicio hospitalario de mantenimiento
8458	complejo principal de histocompatibilidad	Complejo Mayor de Histocompatibilidad|Complejo Principal de Histocompatibilidad|Complejo de Histocompatibilidad|MHC|complejo de histocompatibilidad|complejo mayor de histocompatibilidad
8459	síndromes de malabsorción	Síndromes de Malabsorción|síndromes de malabsorción intestinal|síndromes malabsortivos|síndromes malabsortivos intestinales
8461	malacoplasia	Malacoplaquia|Malacoplasia|malacoplaquia
8462	malaria	Fiebre Malárica|Fiebre Remitente|Fiebre de los Marjales|Infecciones por Plasmodium|Malaria|Paludismo|cuartana|fiebre remitente|infecciones por Plasmodium|paludismo|terciana
8463	malaria aviar	Malaria Aviar|Paludismo Aviar|malaria aviaria|paludismo aviar|paludismo aviario
8464	Malassezia	Pityrosporum
8465	Malasia	Federación Malaya|Federación de Malasia|Malaya|Peninsula Malaya|Península Malaya|Península de Malasia|Sabah|Saravac|Sarawak
8466	malato deshidrogenasa	Malato Deshidrogenasa
8467	malato sintasa	Enzima Condensadora de Malato|Glioxilato Transacetilasa|Malato Sintasa|Malato Sintetasa|enzima condensadora de malato|glioxilato transacetilasa|malato sintetasa
8468	malatos	Malatos
8469	malatión	Malathion|Malatión|malathion
8470	Malawi	Malaui|Niasalandia
8471	maleatos	Maleatos
8472	anhídridos maleicos	2,5-Furandionas|2,5-furandionas|Anhídridos Maleicos
8473	hidracida maleica	Hidracida Maleica|Hidracida del Ácido Maleico|Hidrazida Maleica|Hidrazida del Ácido Maleico|hidracida del ácido maleico
8474	maleimidas	Maleimidas
8475	Mali	Malí
8476	síndrome carcinoide maligno	Síndrome Carcinoide Maligno
8477	fiebre catarral maligna	Catarro Maligno|Fiebre Catarral Maligna|catarro maligno|epiteliosis bovina
8478	hipertermia maligna	Hiperpirexia Maligna|Hipertermia Maligna|hiperpirexia maligna
8479	simulación de enfermedad	Simulación de Enfermedad
8480	martillo	Martillo
8482	síndrome de Mallory-Weiss	Síndrome de Mallory-Weiss
8483	maloclusión	Clasificación de Angle|Dientes Apinados|Mala Oclusión|Maloclusiones|Maloclusión|Malposición de los Dientes|Mordida Cruzada|maloclusiones|maloclusión de los dientes|malposición de los dientes|mordida cruzada
8484	maloclusión de Angle clase I	Clase I de Angle|Maloclusión de Angle Clase I|clase I de Angle
8485	maloclusión de Angle clase II	Clase II de Angle|Clase II de Angle División 1|Clase II de Angle División 2|División 1 de Maloclusión de Angle Clase II|División 2 de Maloclusión de Angle Clase II|Maloclusión Clase II División 1|Maloclusión Clase II División 2|Maloclusión de Angle Clase II|clase II de Angle
8486	maloclusión de Angle clase III	Clase III de Angle|Maloclusión de Angle Clase III|clase III de Angle
8487	malonatos	Malonatos
8488	malondialdehído	Malonaldehído|Malondialdehído|Propanedial|malonaldehído|propanodiol
8489	malonil coenzima A	Malonil CoA|Malonil Coenzima A|malonil CoA
8490	túbulos de Malpighi	Túbulos de Malpighi
8491	mala praxis	Impericia|Mala Praxis|Mala Práctica|Negligencia|Negligencia Profesional|mala práctica|negligencia|negligencia profesional
8492	Malta	-
8493	maltosa	Maltosa
8494	glándulas mamarias animales	Glándulas Mamarias Animales|Mamas Animales|Ubre|Ubres|mamas animales|ubre|ubres
8495	mamíferos	Mammalia|Mamíferos
8496	arterias mamarias	Arteria Mamaria Interna|Arteria Torácica Interna|Arterias Mamarias|arteria mamaria interna|arteria torácica interna
8498	neoplasias mamarias experimentales	Cáncer Mamario Experimental|Neoplasias Mamarias Experimentales|Neoplasias de la Mama Animal, Experimentales|Neplasias Experimentales de la Mama Animal|Tumores Mamarios Experimentales|cáncer mamario experimental|tumores mamarios experimentales
8501	sistemas hombre-máquina	Sistemas Hombre-Máquina
8502	auditoría de la gestión	Auditoría Administrativa|Auditoría Operativa|auditoría operacional
8504	gestión con grupos de calidad	Círculos de Calidad|Participación con Grupos de Calidad|Participación en las Decisiones|círculos de calidad|participación en las decisiones
8505	ácidos mandélicos	Ácidos Mandélicos
8506	mandíbula	Agujero Mandibular|Agujero Mentoniano|Mandíbula|Maxilar Inferior|Surco Milohioideo|agujero mandibular|agujero mentoniano|maxilar inferior|surco milohioideo
8507	cóndilo mandibular	Cóndilo Mandibular
8509	fracturas mandibulares	Fracturas Mandibulares
8510	traumatismos mandibulares	Lesiones Mandibulares|Traumatismos Mandibulares|lesiones mandibulares
8512	nervio mandibular	Nervio Alveolar Inferior|Nervio Mandibular|nervio alveolar inferior
8513	prótesis mandibular	Prótesis Mandibular
8514	disostosis mandibulofacial	Disostosis Mandibulofacial|Disostosis Mandibulofacial (DMF1)|Disostosis Mandibulofacial (MFD1)|Disostosis Mandibulofaciales|Disostosis Mandibulofaciales (DMF1)|Disostosis Mandibulofaciales (MFD1)|Síndrome de Franceschetti Zwahlen Klein|Síndrome de Franceschetti-Zwahlen-Klein|Síndrome de Treacher Collins|Síndrome de Treacher Collins Franceschetti|Síndrome de Treacher Collins-Franceschetti|Síndromes de Franceschetti Zwahlen Klein|Síndromes de Franceschetti-Zwahlen-Klein|Síndromes de Treacher Collins-Franceschetti|disostosis mandibulofacial (MFD1)|disostosis mandibulofaciales (MFD1)|síndrome de Franceschetti|síndrome de Franceschetti Zwahlen Klein|síndrome de Franceschetti-Zwahlen-Klein|síndrome de Treacher Collins|síndrome de Treacher Collins Franceschetti|síndrome de Treacher Collins-Franceschetti|síndromes de Franceschetti-Zwahlen-Klein|síndromes de Treacher Collins-Franceschetti
8516	maneb	Maneb|Manebe
8517	manganeso	Manganeso
8519	escala de ansiedad manifiesta	Escala de Ansiedad Manifiesta|Escala de Ansiedad Manifiesta de Taylor|escala de ansiedad manifiesta de Taylor
8520	maniquís	Maniquíes|maniquíes
8521	manipulación ortopédica	Manipulación Ortopédica
8522	Manitoba	-
8523	mananos	Mananos
8524	bases de Mannich	Bases de Mannich
8525	manitol	Manitol
8526	manitol deshidrogenasas	Manitol Deshidrogenasa|Manitol Deshidrogenasas|manitol deshidrogenasa
8527	fosfatos de manitol	Manitol Fosfatos
8528	manoheptulosa	Manoheptulosa|Manoquetoheptosa|manocetoheptosa
8529	manomustina	Manomustina|Mostaza Nitrogenada de Manitol|mostaza nitrogenada de manitol
8530	manosa	Manosa
8531	manosa-6-fosfato isomerasa	Fosfomanosa Isomerasa|Manosa-6-Fosfato Isomerasa|Manosafosfato Isomerasa|fosfomanosa isomerasa|manosafosfato isomerasa
8532	manosafosfatos	Manosafosfatos
8533	manosidasas	Manosidasas
8534	manósidos	Manósidos
8535	alfa-manosidosis	Manosidosis alfa B Lisosomal|alfa manosidosis|alfa-Manosidosis|manosidosis alfa|manosidosis alfa B lisosómica
8536	manosiltransferasas	Manosiltransferasas
8537	manometría	Manometría|Tonometría|tonometría
8538	Mansonella	Acanthocheilonema perstans|Dipetalonema perstans|Filaria demarquayi|Filaria ozzardi|Mansonella ozzardi|Tetrapetalonema
8540	mansoneliasis	Infección por Acanthocheilonema perstans|Infección por Dipetalonema perstans|Infección por Mansonella perstans|Mansoneliasis|Mansonelliasis|Mansonellosis|Mansonelosis|mansonelliasis|mansonellosis|mansonelosis
8541	comunicación manual	Comunicación Manual
8542	manuales como asunto	Manuales como Asunto|Manuales como Tema
8543	manubrio	Manubrio|manubrio esternal
8544	estiércol	Abono|Abonos|Estiércol|Guano|abono|abono verde|abonos|guano
8545	manuscritos como asunto	Manuscritos como Asunto|Manuscritos como Tema
8546	manuscritos médicos como asunto	Manuscritos Médicos como Asunto|Manuscritos Médicos como Tema
8547	enfermedad de la orina de jarabe de arce	Cetoaciduria de Cadena Ramificada|Enfermedad de la Orina de Jarabe de Arce|Enfermedad de la Orina del Jarabe de Arce con Respuesta a Tiamina|cetoaciduria de cadenas ramificadas|enfermedad de la orina con olor a jarabe de arce|enfermedad de la orina de jarabe de arce con respuesta a tiamina
